,description.year_built,description.baths_full,description.baths_3qtr,description.baths_half,description.baths_1qtr,description.lot_sqft,description.sqft,description.garage,description.beds,description.stories,location.address.coordinate.lon,location.address.coordinate.lat,list_price
0,2021.0,4.0,,1.0,,43560.0,4064.0,3.0,5.0,2.0,-78.975605,35.994409,815100
1,2020.0,3.0,,,,6970.0,2395.0,2.0,3.0,2.0,-78.833035,35.906707,470576
3,2020.0,2.0,,,,6970.0,3520.0,2.0,2.0,1.0,-78.832879,35.906641,433754
4,1940.0,2.0,,,,6970.0,1486.0,,3.0,1.0,-78.915344,36.014227,250000
7,1963.0,2.0,,,,20255.0,1050.0,1.0,3.0,1.0,-78.842772,36.045108,215000
9,2018.0,2.0,,1.0,,11151.0,2519.0,2.0,3.0,2.0,-78.934903,35.963317,549900
10,1970.0,2.0,,,,19950.0,1663.0,,3.0,1.0,-78.935719,36.081496,235000
12,2020.0,2.0,,1.0,,4356.0,1224.0,,3.0,2.0,-78.924536,35.960146,275000
13,1951.0,2.0,,1.0,,20865.0,4192.0,1.0,3.0,,-78.885133,35.978208,229500
14,1991.0,3.0,,,,61420.0,2475.0,1.0,4.0,2.0,-78.935718,35.961291,360000
15,1980.0,2.0,,,,25700.0,1500.0,,3.0,1.0,-78.968439,36.045692,225000
16,,3.0,,,,,2529.0,2.0,3.0,2.0,-78.7928,35.95985,396190
17,,3.0,,,,,2529.0,2.0,3.0,2.0,-78.79246,35.95964,399190
18,,3.0,,,,,2671.0,2.0,4.0,2.0,-78.79234,35.95983,401890
19,2021.0,2.0,,,,7187.0,1403.0,2.0,3.0,1.0,-78.792948,35.947876,370035
20,1930.0,2.0,,,,5009.0,1106.0,,3.0,1.0,-78.920535,35.990968,319900
22,2002.0,2.0,,,,17424.0,1294.0,1.0,3.0,2.0,-78.807974,35.984888,245000
23,2015.0,2.0,,,,4792.0,1611.0,2.0,3.0,1.0,-78.785122,35.935736,399500
24,1920.0,1.0,,1.0,,5009.0,1194.0,,4.0,2.0,-78.887646,35.980218,175000
25,2015.0,4.0,,1.0,,8712.0,3714.0,2.0,4.0,2.0,-78.826848,35.899533,662840
26,1988.0,2.0,,,,56149.0,1461.0,1.0,2.0,1.0,-79.034044,36.010897,270000
28,2000.0,2.0,,1.0,,4356.0,1785.0,2.0,4.0,2.0,-78.920898,35.938391,299900
29,1998.0,2.0,,1.0,,16117.0,1933.0,2.0,3.0,2.0,-78.920963,35.935788,345000
32,1981.0,3.0,,,,23958.0,5494.0,,5.0,,-78.951464,35.976232,799000
33,1924.0,1.0,,1.0,,7884.0,1226.0,,2.0,1.0,-78.908519,36.028717,256900
34,,2.0,,,,,1776.0,2.0,2.0,,,,519790
35,,3.0,,1.0,,,2293.0,2.0,4.0,3.0,,,312105
36,1964.0,1.0,,,,16117.0,960.0,2.0,3.0,1.0,-78.863377,35.974004,119000
40,1951.0,1.0,,,,6316.0,941.0,1.0,2.0,1.0,-78.887124,36.020007,225000
46,1967.0,2.0,,,,21344.0,1694.0,1.0,3.0,1.0,-78.990618,35.976231,244900
47,2006.0,2.0,,1.0,,10454.0,2303.0,2.0,3.0,2.0,-78.921956,35.933582,369000
48,1989.0,3.0,,,,39030.0,3450.0,2.0,4.0,2.0,-78.980976,36.010968,680000
49,1969.0,4.0,,1.0,,38812.0,4443.0,2.0,6.0,3.0,-78.953091,35.982945,1175000
50,2021.0,3.0,,1.0,,3703.0,2690.0,2.0,4.0,2.0,-78.95330574,35.877981061,535000
52,1940.0,1.0,,,,8756.0,884.0,,3.0,1.0,-78.891263,36.017757,195000
54,1994.0,2.0,,,,42689.0,1695.0,1.0,3.0,1.0,-78.928359,36.123446,285000
55,1951.0,3.0,,,,9583.0,2854.0,,4.0,1.0,-78.890693,35.9772,279900
56,2012.0,2.0,,1.0,,5227.0,2480.0,2.0,4.0,2.0,-78.828426,35.962198,318900
57,2000.0,2.0,,1.0,,7492.0,1553.0,1.0,3.0,2.0,-78.823493,35.987962,224850
58,1989.0,2.0,,,,12763.0,1130.0,,3.0,1.0,-78.806324,35.989594,209900
59,1960.0,1.0,,,,8494.0,994.0,,3.0,1.0,-78.903245,35.964097,179900
60,1948.0,2.0,,,,10193.0,1428.0,,3.0,1.0,-78.89166,36.018852,290000
61,1926.0,2.0,,,,14375.0,1644.0,,3.0,1.0,-78.932135,36.0186,650000
62,1983.0,3.0,,1.0,,17468.0,3590.0,2.0,4.0,2.0,-78.942467,36.029164,649000
63,1998.0,2.0,,1.0,,3049.0,1562.0,,3.0,2.0,-78.897315,35.929472,289000
64,1982.0,2.0,,,,8712.0,1500.0,,4.0,1.0,-78.900109,35.98233,190000
65,1986.0,2.0,,,,20038.0,1441.0,,3.0,1.0,-78.909722,36.059422,229000
66,,2.0,,1.0,,2985.0,2985.0,2.0,3.0,1.0,-78.92333,36.094191,363000
67,,2.0,,1.0,,2069.0,2069.0,1.0,3.0,1.0,-78.92333,36.094191,292600
68,,2.0,,1.0,,2309.0,2309.0,1.0,3.0,1.0,-78.92333,36.094191,302900
69,,2.0,,,,1587.0,1587.0,2.0,3.0,1.0,-78.92333,36.094191,280900
70,,2.0,,,,1680.0,1680.0,2.0,3.0,1.0,-78.92333,36.094191,299000
71,,3.0,,1.0,,3187.0,3187.0,2.0,4.0,1.0,-78.92333,36.094191,368400
72,,2.0,,1.0,,2098.0,2098.0,2.0,3.0,1.0,-78.92333,36.094191,289400
73,,2.0,,1.0,,3614.0,3614.0,2.0,4.0,1.0,-78.92333,36.094191,420000
74,,2.0,,1.0,,2764.0,2764.0,2.0,3.0,1.0,-78.92333,36.094191,350500
75,,2.0,,1.0,,2627.0,2627.0,2.0,3.0,1.0,-78.92333,36.094191,340900
76,,2.0,,,,1562.0,1562.0,2.0,2.0,1.0,-78.92333,36.094191,270400
77,,2.0,,1.0,,2440.0,2440.0,2.0,3.0,1.0,-78.92333,36.094191,305400
78,,2.0,,1.0,,2148.0,2148.0,2.0,3.0,1.0,-78.92333,36.094191,314900
79,,2.0,,1.0,,3066.0,3066.0,2.0,4.0,1.0,-78.92333,36.094191,340900
80,,3.0,,1.0,,2257.0,2257.0,2.0,3.0,1.0,-78.92333,36.094191,303400
81,,2.0,,,,1531.0,1531.0,2.0,2.0,1.0,-78.92333,36.094191,280100
82,,2.0,,,,1686.0,1686.0,2.0,2.0,1.0,-78.92333,36.094191,291000
83,,2.0,,1.0,,2378.0,2378.0,1.0,3.0,1.0,-78.92333,36.094191,325900
84,,2.0,,1.0,,2267.0,2267.0,2.0,3.0,1.0,-78.92333,36.094191,320200
85,1952.0,1.0,,1.0,,20125.0,860.0,,2.0,1.0,-78.880463,36.05939,162000
86,1961.0,2.0,,1.0,,9583.0,2206.0,,3.0,1.0,-78.903289,36.013132,535000
87,2020.0,3.0,,,,10019.0,1772.0,,4.0,2.0,-78.937228,35.96875,390000
88,1978.0,1.0,,,,15682.0,1114.0,,4.0,1.0,-78.908313,35.952859,199000
90,2006.0,3.0,,,,7144.0,3145.0,2.0,4.0,2.0,-78.943489,35.894268,392500
91,1981.0,1.0,,1.0,,7449.0,1377.0,,3.0,2.0,-78.933564,35.965731,275000
92,1996.0,2.0,,,,38768.0,2435.0,2.0,3.0,1.0,-78.860503,36.130035,410000
93,2010.0,2.0,,1.0,,4008.0,2173.0,2.0,3.0,2.0,-78.854574,35.869355,325951
94,1990.0,2.0,,1.0,,8407.0,2393.0,2.0,4.0,2.0,-78.8189,35.92915,319900
96,2006.0,2.0,,,,10019.0,1105.0,,3.0,1.0,-78.854833,35.966673,210000
97,1959.0,1.0,,,,7449.0,936.0,,2.0,1.0,-78.883314,36.041771,145000
98,1958.0,2.0,,,,17947.0,1047.0,,3.0,1.0,-78.825315,35.976701,249500
99,2006.0,2.0,,1.0,,10280.0,1634.0,2.0,3.0,2.0,-78.898196,35.929705,299900
101,1950.0,2.0,,,,10019.0,2303.0,3.0,5.0,2.0,-78.901153,36.040445,265000
102,1970.0,2.0,,1.0,,14375.0,1989.0,,3.0,,-78.915433,35.890619,249900
103,1976.0,2.0,,,,30056.0,2081.0,2.0,3.0,1.0,-78.918659,36.111561,265000
105,1962.0,1.0,,,,18513.0,,,3.0,1.0,-78.871366,35.984731,260000
106,1986.0,4.0,,2.0,,69696.0,4975.0,2.0,5.0,2.0,-78.937014,35.947561,850000
108,1993.0,2.0,,,,10977.0,1412.0,,3.0,1.0,-78.829558,35.993573,210000
109,2020.0,2.0,,1.0,,4792.0,1486.0,,3.0,2.0,-78.875367,35.982274,317000
110,2021.0,3.0,,,,3180.0,2349.0,2.0,4.0,2.0,-78.95310189,35.87803322,478000
112,2021.0,3.0,,,,3703.0,2405.0,2.0,4.0,2.0,-78.95320918,35.877920208,515000
113,2001.0,2.0,,1.0,,11326.0,2284.0,2.0,3.0,2.0,-78.927197,36.089151,319900
114,2021.0,2.0,,,,7318.0,1551.0,2.0,2.0,1.0,-78.792801,35.947619,368025
121,1999.0,4.0,,1.0,,52011.0,4872.0,3.0,5.0,2.0,-78.870656,36.124753,529900
122,2005.0,2.0,,1.0,,10890.0,2438.0,2.0,4.0,3.0,-78.825428,36.027483,299000
123,2016.0,2.0,,1.0,,6098.0,1937.0,1.0,4.0,2.0,-78.853871,36.020226,250000
124,2008.0,2.0,,1.0,,6534.0,1860.0,2.0,4.0,2.0,-78.875796,36.066268,252100
127,1959.0,1.0,,,,11108.0,1080.0,,2.0,1.0,-78.874195,35.99181,252500
128,2020.0,4.0,,1.0,,20473.0,5098.0,3.0,4.0,2.0,-78.95154,35.868182,1664213
134,1983.0,2.0,,,,21649.0,1190.0,,3.0,1.0,-78.899343,35.92132,250000
137,2020.0,2.0,,1.0,,2614.0,1159.0,,2.0,2.0,-78.876143,35.982871,272900
140,2007.0,3.0,,1.0,,12371.0,3758.0,2.0,5.0,2.0,-78.931662,35.879978,539750
141,1940.0,2.0,,,,5227.0,1597.0,,3.0,1.0,-78.891189,35.987684,254900
142,2003.0,2.0,,1.0,,7405.0,2164.0,2.0,3.0,2.0,-78.913957,35.913618,325000
143,1983.0,2.0,,,,30056.0,1288.0,1.0,2.0,1.0,-78.971162,36.055577,274900
145,2017.0,2.0,,1.0,,6098.0,2090.0,2.0,3.0,2.0,-78.807025,35.952982,335900
146,2016.0,2.0,,1.0,,6098.0,1411.0,,3.0,2.0,-78.877644,35.99786,315000
147,2014.0,2.0,,1.0,,12632.0,1542.0,,3.0,2.0,-78.925906,35.977736,385000
148,1972.0,2.0,,1.0,,19950.0,2284.0,1.0,4.0,2.0,-78.993209,35.935937,345000
150,2002.0,2.0,,,,4400.0,1711.0,,3.0,2.0,-78.815863,35.92391,234900
151,,2.0,,1.0,,3519.0,3519.0,2.0,4.0,,-78.976082,35.974029,498490
153,1966.0,2.0,,1.0,,20909.0,2383.0,,4.0,,-78.923623,36.074624,279000
154,1994.0,2.0,,,,11761.0,1567.0,,3.0,1.0,-78.828951,35.989623,215000
156,1988.0,2.0,,,,8015.0,1112.0,,2.0,1.0,-78.932788,36.04434,209900
157,2005.0,3.0,,,,10019.0,3070.0,2.0,6.0,2.0,-78.946039,35.890397,499000
158,2015.0,2.0,,1.0,,8930.0,2971.0,2.0,4.0,2.0,-78.931951,35.932212,464900
159,2014.0,2.0,,1.0,,4792.0,2012.0,2.0,3.0,2.0,-78.836195,35.965248,300000
160,1972.0,2.0,,,,13024.0,1598.0,,3.0,2.0,-78.910833,35.88088,269900
161,1989.0,2.0,,1.0,,13373.0,1497.0,1.0,3.0,2.0,-78.899535,35.915911,260000
163,,2.0,,1.0,,2638.0,2638.0,2.0,4.0,,-78.976082,35.974029,461490
164,1972.0,2.0,,,,20038.0,1611.0,,3.0,1.0,-78.928792,36.084812,179000
167,2001.0,1.0,,1.0,,8407.0,1158.0,,3.0,1.0,-78.881446,36.035317,140000
171,1970.0,2.0,,,,16553.0,1836.0,2.0,3.0,1.0,-78.868278,35.950604,299900
172,1968.0,2.0,,,,19994.0,1460.0,1.0,3.0,1.0,-78.991427,35.909788,259900
173,1924.0,2.0,,,,5097.0,1260.0,,4.0,1.0,-78.904903,35.972389,139995
176,1998.0,3.0,,1.0,,22651.0,3444.0,2.0,4.0,2.0,-78.863511,36.128035,474900
177,1993.0,2.0,,,,16117.0,1828.0,2.0,3.0,1.0,-78.880073,36.08664,275000
178,1971.0,2.0,,,,20038.0,1800.0,1.0,3.0,1.0,-78.955067,36.085008,300000
179,2021.0,2.0,,,,6490.0,1800.0,2.0,2.0,1.0,-78.792154,35.945762,416625
186,1940.0,2.0,,,,5097.0,1599.0,,3.0,1.0,-78.882032,35.995555,269900
187,2017.0,2.0,,1.0,,7100.0,2462.0,2.0,3.0,2.0,-78.800139,35.966217,330000
189,,3.0,,,,,1916.0,2.0,3.0,2.0,-78.8313,35.9592,393730
199,1995.0,3.0,,1.0,,37287.0,4600.0,3.0,4.0,2.0,-78.861103,36.11658,690000
201,1996.0,1.0,,,,10019.0,884.0,,3.0,1.0,-78.883058,36.028863,225000
202,1969.0,2.0,,,,20473.0,1297.0,,3.0,1.0,-78.936653,36.07979,240000
203,2008.0,3.0,,,,10019.0,1958.0,2.0,4.0,1.0,-78.856009,36.048093,260000
204,,3.0,,,,,1931.0,2.0,2.0,2.0,-78.8313,35.9592,391900
205,,3.0,,,,,2149.0,2.0,2.0,1.0,-78.8313,35.9592,424210
206,2002.0,2.0,,1.0,,6970.0,1583.0,1.0,3.0,2.0,-78.905918,35.915085,290900
207,2017.0,2.0,,1.0,,5663.0,2046.0,2.0,4.0,2.0,-78.796629,35.967831,334900
208,1969.0,1.0,,1.0,,7405.0,998.0,,3.0,1.0,-78.877521,36.029985,179900
209,1994.0,2.0,,1.0,,16553.0,2863.0,2.0,4.0,2.0,-78.926311,35.884053,385000
210,1978.0,3.0,,,,21780.0,3496.0,,3.0,,-78.950118,36.086506,299900
211,2020.0,3.0,,,,10803.0,2634.0,2.0,4.0,2.0,-78.932187,35.941606,549900
212,1957.0,2.0,,1.0,,49223.0,2620.0,2.0,3.0,1.0,-78.936166,35.945419,485000
214,2021.0,2.0,,1.0,,4792.0,1916.0,2.0,3.0,1.0,-78.8313,35.9592,393730
215,1959.0,2.0,,1.0,,11848.0,1763.0,1.0,3.0,,-78.932622,35.991466,292000
217,2016.0,3.0,,,,6098.0,3265.0,2.0,3.0,1.0,-78.82712,35.898177,500000
220,1998.0,2.0,,1.0,,12066.0,1423.0,,3.0,2.0,-78.893177,36.083424,237000
221,2004.0,2.0,,1.0,,7013.0,1810.0,1.0,3.0,2.0,-78.808859,36.007979,235000
223,2009.0,3.0,,,,9148.0,3301.0,2.0,5.0,2.0,-78.825254,35.946927,469800
224,1968.0,2.0,,1.0,,16379.0,2392.0,2.0,3.0,,-78.902818,36.069655,314900
225,1986.0,1.0,,1.0,,8625.0,955.0,,3.0,1.0,-78.918559,36.031608,194900
227,2000.0,2.0,,1.0,,22651.0,2291.0,2.0,3.0,2.0,-78.979425,35.989765,429900
228,1992.0,2.0,,1.0,,26136.0,1652.0,,3.0,2.0,-78.852795,36.00764,245000
229,2021.0,2.0,,1.0,,15682.0,2685.0,2.0,3.0,2.0,-78.956604,36.015708,406900
230,1994.0,2.0,,,,7841.0,1346.0,2.0,3.0,1.0,-78.914745,35.92131,273000
231,,2.0,,1.0,,2139.0,2139.0,2.0,3.0,2.0,-78.917228,35.905933,317900
232,,2.0,,1.0,,1950.0,1950.0,2.0,3.0,2.0,-78.917228,35.905933,295900
233,,2.0,,1.0,,2098.0,2098.0,2.0,3.0,2.0,-78.917228,35.905933,309900
234,,2.0,,1.0,,2001.0,2001.0,2.0,2.0,2.0,-78.917228,35.905933,297900
235,,2.0,,1.0,,2271.0,2271.0,2.0,3.0,2.0,-78.917228,35.905933,334900
242,2010.0,2.0,,1.0,,6098.0,2490.0,2.0,3.0,2.0,-78.87616,35.944723,319900
243,2001.0,2.0,,1.0,,15856.0,2427.0,2.0,4.0,2.0,-78.925414,36.089196,345000
244,2021.0,2.0,,1.0,,4792.0,1931.0,2.0,2.0,2.0,-78.8313,35.9592,391900
245,2021.0,2.0,,1.0,,7841.0,2149.0,2.0,2.0,1.0,-78.8313,35.9592,424210
246,2007.0,2.0,,1.0,,10803.0,1636.0,1.0,3.0,2.0,-78.814234,35.978566,259900
247,1961.0,1.0,,,,36678.0,880.0,,2.0,1.0,-78.770181,35.99864,90000
249,1930.0,2.0,,,,5097.0,1387.0,,3.0,1.0,-78.931643,36.016945,435000
250,2013.0,2.0,,1.0,,5793.0,2435.0,2.0,3.0,2.0,-78.828932,35.962222,320000
253,2006.0,4.0,,2.0,,44867.0,7588.0,3.0,5.0,3.0,-78.953246,35.864303,1500000
254,1930.0,2.0,,,,5837.0,1319.0,,3.0,1.0,-78.885494,36.000458,319500
257,2021.0,2.0,,1.0,,6490.0,2169.0,2.0,2.0,1.0,-78.7922,35.94563,444270
258,,2.0,,1.0,,1882.0,1882.0,2.0,2.0,,-78.758805,35.928158,337900
259,1957.0,1.0,,1.0,,10019.0,1870.0,,3.0,1.0,-78.933181,35.984985,365000
260,2021.0,3.0,,,,6490.0,2429.0,2.0,3.0,2.0,-78.792246,35.945498,465605
261,2021.0,2.0,,,,6186.0,1551.0,2.0,2.0,1.0,-78.790681,35.943747,353580
262,2002.0,2.0,,1.0,,13939.0,2351.0,2.0,3.0,2.0,-78.917678,35.917962,360000
263,2017.0,2.0,,,,20038.0,1680.0,2.0,3.0,1.0,-78.87291,35.949219,315000
264,2007.0,3.0,,,,19689.0,3182.0,2.0,4.0,2.0,-78.972381,36.02567,500000
265,2001.0,2.0,,1.0,,4356.0,2220.0,2.0,3.0,2.0,-78.911544,35.915464,342900
266,1956.0,2.0,,,,19994.0,1568.0,,3.0,1.0,-78.83331,35.936616,239900
267,1986.0,2.0,,1.0,,58850.0,2313.0,,4.0,2.0,-78.962341,36.085912,330000
269,2017.0,4.0,,1.0,,82764.0,5142.0,2.0,5.0,,-79.003524,36.052023,850000
270,1927.0,2.0,,1.0,,11543.0,1435.0,,3.0,1.0,-78.875865,35.998231,319900
271,2021.0,2.0,,1.0,,12720.0,1967.0,2.0,3.0,1.0,-78.873625,36.042123,249900
272,1920.0,3.0,,,,6186.0,2347.0,,4.0,2.0,-78.892348,36.009493,623000
274,1953.0,1.0,,,,17206.0,1000.0,,3.0,1.0,-78.855041,35.994466,179900
275,1989.0,2.0,,,,5358.0,1375.0,,3.0,2.0,-78.894518,36.080371,210000
276,,2.0,,1.0,,2641.0,2641.0,2.0,3.0,,-78.976082,35.974029,461990
278,2015.0,2.0,,,,5140.0,1438.0,2.0,2.0,1.0,-78.785128,35.936299,337900
279,,2.0,,1.0,,2935.0,2935.0,2.0,4.0,,-78.976082,35.974029,479990
280,,2.0,,1.0,,2641.0,2641.0,2.0,3.0,,-78.976082,35.974029,462990
281,1930.0,2.0,,,,10019.0,2005.0,2.0,3.0,1.0,-78.905946,35.983234,499900
282,2018.0,2.0,,1.0,,7841.0,2140.0,,3.0,2.0,-78.876724,35.985629,375000
285,1933.0,2.0,,,,6578.0,1358.0,,3.0,1.0,-78.903914,35.972871,215000
287,2006.0,2.0,,1.0,,8276.0,2336.0,2.0,4.0,2.0,-78.875224,36.060815,270000
288,,2.0,,1.0,,2956.0,2956.0,2.0,4.0,2.0,-78.828964,35.931872,380900
293,1959.0,1.0,,,,17424.0,990.0,,2.0,1.0,-78.926035,36.025348,219900
294,1920.0,3.0,,,,4966.0,2275.0,,4.0,,-78.889227,35.993358,508000
295,1965.0,2.0,,,,20038.0,1323.0,,3.0,1.0,-78.800397,36.006751,195000
